Province,District,Local Level Name,Type
1,KHOTANG,Rawa Besi Rural Municipality,Rural Municipality
1,KHOTANG,Kepilasagadhi Rural Municipality,Rural Municipality
1,KHOTANG,Jantedhunga Rural Municipality,Rural Municipality
1,KHOTANG,Diprung Chuichumma Rural Municipality,Rural Municipality
1,KHOTANG,Halesi Tuwachung Municipality,Municipality
1,KHOTANG,Diktel Rupakot Majhuwagadhi Municipality,Municipality
1,BHOJPUR,Arun Rural Municipality,Rural Municipality
1,BHOJPUR,Aamchowk Rural Municipality,Rural Municipality
1,BHOJPUR,Hatuwagadhi Rural Municipality,Rural Municipality
1,BHOJPUR,Pauwadungma Rural Municipality,Rural Municipality
1,BHOJPUR,Temkemaiyung Rural Municipality,Rural Municipality
1,BHOJPUR,Salpasilichho Rural Municipality,Rural Municipality
1,BHOJPUR,Ramprasad Rai Rural Municipality,Rural Municipality
1,BHOJPUR,Shadananda Municipality,Municipality
1,BHOJPUR,Bhojpur Municipality,Municipality
1,DHANKUTA,Chaubise Rural Municipality,Rural Municipality
1,DHANKUTA,Shahidbhumi Rural Municipality,Rural Municipality
1,DHANKUTA,Sangurigadhi Rural Municipality,Rural Municipality
1,DHANKUTA,Chhathar Jorpati Rural Municipality,Rural Municipality
1,DHANKUTA,Pakhribas Municipality,Municipality
1,DHANKUTA,Mahalaxmi Municipality,Municipality
1,DHANKUTA,Dhankuta Municipality,Municipality
1,TERHATHUM,Chhathar Rural Municipality,Rural Municipality
1,TERHATHUM,Phedap Rural Municipality,Rural Municipality
1,TERHATHUM,Aathrai Rural Municipality,Rural Municipality
1,TERHATHUM,Menchayam Rural Municipality,Rural Municipality
1,TERHATHUM,Laligurans Municipality,Municipality
1,TERHATHUM,Myanglung Municipality,Municipality
1,PANCHTHAR,Yangwarak Rural Municipality,Rural Municipality
1,PANCHTHAR,Hilihang Rural Municipality,Rural Municipality
1,PANCHTHAR,Falelung Rural Municipality,Rural Municipality
1,PANCHTHAR,Tumbewa Rural Municipality,Rural Municipality
1,PANCHTHAR,Kummayak Rural Municipality,Rural Municipality
1,PANCHTHAR,Miklajung Rural Municipality,Rural Municipality
1,PANCHTHAR,Falgunanda Rural Municipality,Rural Municipality
1,PANCHTHAR,Phidim Municipality,Municipality
1,ILAM,Rong Rural Municipality,Rural Municipality
1,ILAM,Mangsebung Rural Municipality,Rural Municipality
1,ILAM,Chulachuli Rural Municipality,Rural Municipality
1,ILAM,Sandakpur Rural Municipality,Rural Municipality
1,ILAM,Fakphokthum Rural Municipality,Rural Municipality
1,ILAM,Maijogmai Rural Municipality,Rural Municipality
1,ILAM,Illam Municipality,Municipality
1,ILAM,Mai Municipality,Municipality
1,ILAM,Deumai Municipality,Municipality
1,ILAM,Suryodaya Municipality,Municipality
1,JHAPA,Kamal Rural Municipality,Rural Municipality
1,JHAPA,Jhapa Rural Municipality,Rural Municipality
1,JHAPA,Kachankawal Rural Municipality,Rural Municipality
1,JHAPA,Gauriganj Rural Municipality,Rural Municipality
1,JHAPA,Barhadashi Rural Municipality,Rural Municipality
1,JHAPA,Haldibari Rural Municipality,Rural Municipality
1,JHAPA,Buddhashanti Rural Municipality,Rural Municipality
1,JHAPA,Shivasataxi Municipality,Municipality
1,JHAPA,Bhadrapur Municipality,Municipality
1,JHAPA,Kankai Municipality,Municipality
1,JHAPA,Birtamod Municipality,Municipality
1,JHAPA,Mechinagar Municipality,Municipality
1,JHAPA,Damak Municipality,Municipality
1,JHAPA,Arjundhara Municipality,Municipality
1,JHAPA,Gauradhaha Municipality,Municipality
1,MORANG,Jahada Rural Municipality,Rural Municipality
1,MORANG,Katahari Rural Municipality,Rural Municipality
1,MORANG,Gramthan Rural Municipality,Rural Municipality
1,MORANG,Dhanpalthan Rural Municipality,Rural Municipality
1,MORANG,Kerabari Rural Municipality,Rural Municipality
1,MORANG,Budhiganga Rural Municipality,Rural Municipality
1,MORANG,Kanepokhari Rural Municipality,Rural Municipality
1,MORANG,Miklajung Rural Municipality,Rural Municipality
1,MORANG,Letang Municipality,Municipality
1,MORANG,Sunwarshi Municipality,Municipality
1,MORANG,Rangeli Municipality,Municipality
1,MORANG,Patahrishanishchare Municipality,Municipality
1,MORANG,Biratnagar Metropolitian City,Metropolitian City
1,MORANG,Uralabari Municipality,Municipality
1,MORANG,Belbari Municipality,Municipality
1,MORANG,Sundarharaicha Municipality,Municipality
1,MORANG,Ratuwamai Municipality,Municipality
1,SUNSARI,Gadhi Rural Municipality,Rural Municipality
1,SUNSARI,Koshi Rural Municipality,Rural Municipality
1,SUNSARI,Barju Rural Municipality,Rural Municipality
1,SUNSARI,Harinagar Rural Municipality,Rural Municipality
1,SUNSARI,Dewanganj Rural Municipality,Rural Municipality
1,SUNSARI,Bhokraha Narsing Rural Municipality,Rural Municipality
1,SUNSARI,Ramdhuni Municipality,Municipality
1,SUNSARI,Barahchhetra Municipality,Municipality
1,SUNSARI,Duhabi Municipality,Municipality
1,SUNSARI,Inaruwa Municipality,Municipality
1,SUNSARI,Dharan Sub-Metropolitian City,Sub-Metropolitian City
1,SUNSARI,Itahari Sub-Metropolitian City,Sub-Metropolitian City
1,UDAYAPUR,Tapli Rural Municipality,Rural Municipality
1,UDAYAPUR,Rautamai Rural Municipality,Rural Municipality
1,UDAYAPUR,Udayapurgadhi Rural Municipality,Rural Municipality
1,UDAYAPUR,Limchungbung Rural Municipality,Rural Municipality
1,UDAYAPUR,Chaudandigadhi Municipality,Municipality
1,UDAYAPUR,Triyuga Municipality,Municipality
